  120  1.0000E+00
   i   x             den           ener          pres          vel           cs
   63  7.812500E-01  7.940497E-01  7.683755E-01  2.440513E-01  3.814504E-01  6.559652E-01
   64  7.937500E-01  8.335390E-01  7.382135E-01  2.461319E-01  3.882526E-01  6.429615E-01
   65  8.062500E-01  8.749154E-01  7.096576E-01  2.483562E-01  3.951153E-01  6.304033E-01
   66  8.187500E-01  9.183056E-01  6.825982E-01  2.507335E-01  4.020415E-01  6.182678E-01
   67  8.312500E-01  9.638481E-01  6.569346E-01  2.532741E-01  4.090342E-01  6.065339E-01
   68  8.437500E-01  1.011694E+00  6.325740E-01  2.559886E-01  4.160967E-01  5.951818E-01
   69  8.562500E-01  1.062011E+00  6.094310E-01  2.588889E-01  4.232321E-01  5.841929E-01
   70  8.687500E-01  1.114979E+00  5.874269E-01  2.619874E-01  4.304437E-01  5.735495E-01
   71  8.812500E-01  1.170799E+00  5.664888E-01  2.652977E-01  4.377347E-01  5.632351E-01
   72  8.937500E-01  1.229689E+00  5.465496E-01  2.688345E-01  4.451085E-01  5.532339E-01
   73  9.062500E-01  1.291892E+00  5.275468E-01  2.726135E-01  4.525682E-01  5.435313E-01
   74  9.187500E-01  1.357674E+00  5.094227E-01  2.766519E-01  4.601171E-01  5.341130E-01
   75  9.312500E-01  1.427325E+00  4.921235E-01  2.809681E-01  4.677585E-01  5.249659E-01
   76  9.437500E-01  1.501170E+00  4.755994E-01  2.855823E-01  4.754955E-01  5.160772E-01
   77  9.562500E-01  1.579566E+00  4.598039E-01  2.905162E-01  4.833312E-01  5.074349E-01
   78  9.687500E-01  1.662906E+00  4.446937E-01  2.957935E-01  4.912687E-01  4.990275E-01
   79  9.812500E-01  1.751627E+00  4.302283E-01  3.014398E-01  4.993108E-01  4.908440E-01
   80  9.937500E-01  1.846214E+00  4.163701E-01  3.074833E-01  5.074603E-01  4.828739E-01
   81  1.006250E+00  1.947204E+00  4.030835E-01  3.139544E-01  5.157198E-01  4.751071E-01
   82  1.018750E+00  2.055196E+00  3.903356E-01  3.208864E-01  5.240917E-01  4.675339E-01
   83  1.031250E+00  2.170854E+00  3.780952E-01  3.283158E-01  5.325783E-01  4.601449E-01
   84  1.043750E+00  2.294921E+00  3.663331E-01  3.362822E-01  5.411815E-01  4.529310E-01
   85  1.056250E+00  2.428226E+00  3.550218E-01  3.448293E-01  5.499032E-01  4.458837E-01
