"Uc","Um","Ue","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.0001,4.779e-05,0.99997,1,0,0,0.2,0
1.0001,4.7153e-05,0.99997,1,0.0001,0.0001,0.2,0
1.0001,4.6516e-05,0.99997,1,0.0002,0.0002,0.2,0
1.0001,4.5879e-05,0.99997,1,0.0003,0.0003,0.2,0
1.0001,4.5242e-05,0.99997,1,0.0004,0.0004,0.2,0
1.0001,4.4605e-05,0.99997,1,0.0005,0.0005,0.2,0
1.0001,4.3967e-05,0.99997,1,0.0006,0.0006,0.2,0
1.0001,4.333e-05,0.99997,1,0.0007,0.0007,0.2,0
1.0001,4.2693e-05,0.99997,1,0.0008,0.0008,0.2,0
1.0001,4.2056e-05,0.99997,1,0.0009,0.0009,0.2,0
1.0001,4.1419e-05,0.99997,1,0.001,0.001,0.2,0
1.0001,4.0782e-05,0.99997,1,0.0011,0.0011,0.2,0
1.0001,4.0144e-05,0.99997,1,0.0012,0.0012,0.2,0
1.0001,3.9507e-05,0.99997,1,0.0013,0.0013,0.2,0
1.0001,3.887e-05,0.99998,1,0.0014,0.0014,0.2,0
1.0001,3.8233e-05,0.99998,1,0.0015,0.0015,0.2,0
1.0001,3.7596e-05,0.99998,1,0.0016,0.0016,0.2,0
1.0001,3.6959e-05,0.99998,1,0.0017,0.0017,0.2,0
1.0001,3.6322e-05,0.99998,1,0.0018,0.0018,0.2,0
1.0001,3.5684e-05,0.99998,1,0.0019,0.0019,0.2,0
1.0001,3.5047e-05,0.99998,1,0.002,0.002,0.2,0
1.0001,3.441e-05,0.99998,1,0.0021,0.0021,0.2,0
1.0001,3.3773e-05,0.99998,1,0.0022,0.0022,0.2,0
1.0001,3.3136e-05,0.99998,1,0.0023,0.0023,0.2,0
1.0001,3.2499e-05,0.99998,1,0.0024,0.0024,0.2,0
1.0001,3.1861e-05,0.99998,1,0.0025,0.0025,0.2,0
1.0001,3.1224e-05,0.99998,1,0.0026,0.0026,0.2,0
1.0001,3.0587e-05,0.99998,1,0.0027,0.0027,0.2,0
1.0001,2.995e-05,0.99998,1,0.0028,0.0028,0.2,0
1.0001,2.9313e-05,0.99998,1,0.0029,0.0029,0.2,0
1.0001,2.8676e-05,0.99998,1,0.003,0.003,0.2,0
1.0001,2.8038e-05,0.99998,1,0.0031,0.0031,0.2,0
1.0001,2.7401e-05,0.99998,1,0.0032,0.0032,0.2,0
1.0001,2.6764e-05,0.99998,1,0.0033,0.0033,0.2,0
1.0001,2.6127e-05,0.99998,1,0.0034,0.0034,0.2,0
1.0001,2.549e-05,0.99998,1,0.0035,0.0035,0.2,0
1.0001,2.4853e-05,0.99998,1,0.0036,0.0036,0.2,0
1.0001,2.4216e-05,0.99998,1,0.0037,0.0037,0.2,0
1.0001,2.3578e-05,0.99998,1,0.0038,0.0038,0.2,0
1.0001,2.2941e-05,0.99998,1,0.0039,0.0039,0.2,0
1.0001,2.2304e-05,0.99998,1,0.004,0.004,0.2,0
1.0001,2.1667e-05,0.99998,1,0.0041,0.0041,0.2,0
1.0001,2.103e-05,0.99998,1,0.0042,0.0042,0.2,0
1.0001,2.0393e-05,0.99998,1,0.0043,0.0043,0.2,0
1.0001,1.9755e-05,0.99998,1,0.0044,0.0044,0.2,0
1.0001,1.9118e-05,0.99998,1,0.0045,0.0045,0.2,0
1.0001,1.8481e-05,0.99998,1,0.0046,0.0046,0.2,0
1.0001,1.7844e-05,0.99998,1,0.0047,0.0047,0.2,0
1.0001,1.7207e-05,0.99998,1,0.0048,0.0048,0.2,0
1.0001,1.657e-05,0.99998,1,0.0049,0.0049,0.2,0
1.0001,1.5932e-05,0.99998,1,0.005,0.005,0.2,0
1.0001,1.5295e-05,0.99998,1,0.0051,0.0051,0.2,0
1.0001,1.4658e-05,0.99998,1,0.0052,0.0052,0.2,0
1.0001,1.4021e-05,0.99998,1,0.0053,0.0053,0.2,0
1.0001,1.3384e-05,0.99998,1,0.0054,0.0054,0.2,0
1.0001,1.2747e-05,0.99998,1,0.0055,0.0055,0.2,0
1.0001,1.211e-05,0.99998,1,0.0056,0.0056,0.2,0
1.0001,1.1472e-05,0.99999,1,0.0057,0.0057,0.2,0
1.0001,1.0835e-05,0.99999,1,0.0058,0.0058,0.2,0
1.0001,1.0198e-05,0.99999,1,0.0059,0.0059,0.2,0
1.0001,9.5609e-06,0.99999,1,0.006,0.006,0.2,0
1.0001,8.9237e-06,0.99999,1,0.0061,0.0061,0.2,0
1.0001,8.2866e-06,0.99999,1,0.0062,0.0062,0.2,0
1.0001,7.6494e-06,0.99999,1,0.0063,0.0063,0.2,0
1.0001,7.0123e-06,0.99999,1,0.0064,0.0064,0.2,0
1.0001,6.3751e-06,0.99999,1,0.0065,0.0065,0.2,0
1.0001,5.738e-06,0.99999,1,0.0066,0.0066,0.2,0
1.0001,5.1008e-06,0.99999,1,0.0067,0.0067,0.2,0
1.0001,4.4636e-06,0.99999,1,0.0068,0.0068,0.2,0
1.0001,3.8265e-06,0.99999,1,0.0069,0.0069,0.2,0
1.0001,3.1893e-06,0.99999,1,0.007,0.007,0.2,0
1.0001,2.5522e-06,0.99999,1,0.0071,0.0071,0.2,0
1.0001,1.915e-06,0.99999,1,0.0072,0.0072,0.2,0
1.0001,1.2778e-06,0.99999,1,0.0073,0.0073,0.2,0
1.0001,6.4069e-07,0.99999,1,0.0074,0.0074,0.2,0
1.0001,3.5306e-09,0.99999,1,0.0075,0.0075,0.2,0
1.0001,-6.3363e-07,0.99999,1,0.0076,0.0076,0.2,0
1.0001,-1.2708e-06,0.99999,1,0.0077,0.0077,0.2,0
1.0001,-1.9079e-06,0.99999,1,0.0078,0.0078,0.2,0
1.0001,-2.5451e-06,0.99999,1,0.0079,0.0079,0.2,0
1.0001,-3.1823e-06,0.99999,1,0.008,0.008,0.2,0
1.0001,-3.8194e-06,0.99999,1,0.0081,0.0081,0.2,0
1.0001,-4.4566e-06,0.99999,1,0.0082,0.0082,0.2,0
1.0001,-5.0937e-06,0.99999,1,0.0083,0.0083,0.2,0
1.0001,-5.7309e-06,0.99999,1,0.0084,0.0084,0.2,0
1.0001,-6.3681e-06,0.99999,1,0.0085,0.0085,0.2,0
1.0001,-7.0052e-06,0.99999,1,0.0086,0.0086,0.2,0
1.0001,-7.6424e-06,0.99999,1,0.0087,0.0087,0.2,0
1.0001,-8.2795e-06,0.99999,1,0.0088,0.0088,0.2,0
1.0001,-8.9167e-06,0.99999,1,0.0089,0.0089,0.2,0
1.0001,-9.5538e-06,0.99999,1,0.009,0.009,0.2,0
1.0001,-1.0191e-05,0.99999,1,0.0091,0.0091,0.2,0
1.0001,-1.0828e-05,0.99999,1,0.0092,0.0092,0.2,0
1.0001,-1.1465e-05,0.99999,1,0.0093,0.0093,0.2,0
1.0001,-1.2102e-05,0.99999,1,0.0094,0.0094,0.2,0
1.0001,-1.274e-05,0.99999,1,0.0095,0.0095,0.2,0
1.0001,-1.3377e-05,0.99999,1,0.0096,0.0096,0.2,0
1.0001,-1.4014e-05,0.99999,1,0.0097,0.0097,0.2,0
1.0001,-1.4651e-05,0.99999,1,0.0098,0.0098,0.2,0
1.0001,-1.5288e-05,0.99999,1,0.0099,0.0099,0.2,0
1.0001,-1.5925e-05,1,1,0.01,0.01,0.2,0
1.0001,-1.6563e-05,1,1,0.0101,0.0101,0.2,0
1.0001,-1.72e-05,1,1,0.0102,0.0102,0.2,0
1.0001,-1.7837e-05,1,1,0.0103,0.0103,0.2,0
1.0001,-1.8474e-05,1,1,0.0104,0.0104,0.2,0
1.0001,-1.9111e-05,1,1,0.0105,0.0105,0.2,0
1.0001,-1.9748e-05,1,1,0.0106,0.0106,0.2,0
1.0001,-2.0386e-05,1,1,0.0107,0.0107,0.2,0
1.0001,-2.1023e-05,1,1,0.0108,0.0108,0.2,0
1.0001,-2.166e-05,1,1,0.0109,0.0109,0.2,0
1.0001,-2.2297e-05,1,1,0.011,0.011,0.2,0
1.0001,-2.2934e-05,1,1,0.0111,0.0111,0.2,0
1.0001,-2.3571e-05,1,1,0.0112,0.0112,0.2,0
1.0001,-2.4208e-05,1,1,0.0113,0.0113,0.2,0
1.0001,-2.4846e-05,1,1,0.0114,0.0114,0.2,0
1.0001,-2.5483e-05,1,1,0.0115,0.0115,0.2,0
1.0001,-2.612e-05,1,1,0.0116,0.0116,0.2,0
1.0001,-2.6757e-05,1,1,0.0117,0.0117,0.2,0
1.0001,-2.7394e-05,1,1,0.0118,0.0118,0.2,0
1.0001,-2.8031e-05,1,1,0.0119,0.0119,0.2,0
1.0001,-2.8669e-05,1,1,0.012,0.012,0.2,0
1.0001,-2.9306e-05,1,1,0.0121,0.0121,0.2,0
1.0001,-2.9943e-05,1,1,0.0122,0.0122,0.2,0
1.0001,-3.058e-05,1,1,0.0123,0.0123,0.2,0
1.0001,-3.1217e-05,1,1,0.0124,0.0124,0.2,0
1.0001,-3.1854e-05,1,1,0.0125,0.0125,0.2,0
1.0001,-3.2492e-05,1,1,0.0126,0.0126,0.2,0
1.0001,-3.3129e-05,1,1,0.0127,0.0127,0.2,0
1.0001,-3.3766e-05,1,1,0.0128,0.0128,0.2,0
1.0001,-3.4403e-05,1,1,0.0129,0.0129,0.2,0
1.0001,-3.504e-05,1,1,0.013,0.013,0.2,0
1.0001,-3.5677e-05,1,1,0.0131,0.0131,0.2,0
1.0001,-3.6314e-05,1,1,0.0132,0.0132,0.2,0
1.0001,-3.6952e-05,1,1,0.0133,0.0133,0.2,0
1.0001,-3.7589e-05,1,1,0.0134,0.0134,0.2,0
1.0001,-3.8226e-05,1,1,0.0135,0.0135,0.2,0
1.0001,-3.8863e-05,1,1,0.0136,0.0136,0.2,0
1.0001,-3.95e-05,1,1,0.0137,0.0137,0.2,0
1.0001,-4.0137e-05,1,1,0.0138,0.0138,0.2,0
1.0001,-4.0775e-05,1,1,0.0139,0.0139,0.2,0
1.0001,-4.1412e-05,1,1,0.014,0.014,0.2,0
1.0001,-4.2049e-05,1,1,0.0141,0.0141,0.2,0
1.0001,-4.2686e-05,1,1,0.0142,0.0142,0.2,0
1.0001,-4.3323e-05,1,1,0.0143,0.0143,0.2,0
1.0001,-4.396e-05,1,1,0.0144,0.0144,0.2,0
1.0001,-4.4598e-05,1,1,0.0145,0.0145,0.2,0
1.0001,-4.5235e-05,1,1,0.0146,0.0146,0.2,0
1.0001,-4.5872e-05,1,1,0.0147,0.0147,0.2,0
1.0001,-4.6509e-05,1,1,0.0148,0.0148,0.2,0
1.0001,-4.7146e-05,1,1,0.0149,0.0149,0.2,0
1.0001,-4.7783e-05,1,1,0.015,0.015,0.2,0
1.0001,-4.842e-05,1,1,0.0151,0.0151,0.2,0
1.0001,-4.9058e-05,1,1,0.0152,0.0152,0.2,0
1.0001,-4.9695e-05,1,1,0.0153,0.0153,0.2,0
1.0001,-5.0332e-05,1,1,0.0154,0.0154,0.2,0
1.0001,-5.0969e-05,1,1,0.0155,0.0155,0.2,0
1.0001,-5.1606e-05,1,1,0.0156,0.0156,0.2,0
1.0001,-5.2243e-05,1,1,0.0157,0.0157,0.2,0
1.0001,-5.2881e-05,1,1,0.0158,0.0158,0.2,0
1.0001,-5.3518e-05,1,1,0.0159,0.0159,0.2,0
1.0001,-5.4155e-05,1,1,0.016,0.016,0.2,0
1.0001,-5.4792e-05,1,1,0.0161,0.0161,0.2,0
1.0001,-5.5429e-05,1,1,0.0162,0.0162,0.2,0
1.0001,-5.6066e-05,1,1,0.0163,0.0163,0.2,0
1.0001,-5.6704e-05,1,1,0.0164,0.0164,0.2,0
1.0001,-5.7341e-05,1,1,0.0165,0.0165,0.2,0
1.0001,-5.7978e-05,1,1,0.0166,0.0166,0.2,0
1.0001,-5.8615e-05,1,1,0.0167,0.0167,0.2,0
1.0001,-5.9252e-05,1,1,0.0168,0.0168,0.2,0
1.0001,-5.9889e-05,1,1,0.0169,0.0169,0.2,0
1.0001,-6.0526e-05,1,1,0.017,0.017,0.2,0
1.0001,-6.1164e-05,1,1,0.0171,0.0171,0.2,0
1.0001,-6.1801e-05,1,1,0.0172,0.0172,0.2,0
1.0001,-6.2438e-05,1,1,0.0173,0.0173,0.2,0
1.0001,-6.3075e-05,1,1,0.0174,0.0174,0.2,0
1.0001,-6.3712e-05,1,1,0.0175,0.0175,0.2,0
1.0001,-6.4349e-05,1,1,0.0176,0.0176,0.2,0
1.0001,-6.4987e-05,1,1,0.0177,0.0177,0.2,0
1.0001,-6.5624e-05,1,1,0.0178,0.0178,0.2,0
1.0001,-6.6101e-05,1,1,0.0179,0.0179,0.2,0
1.0001,-6.6364e-05,1,1,0.018,0.018,0.2,0
1.0001,-6.6627e-05,1,1,0.0181,0.0181,0.2,0
1.0001,-6.6891e-05,1,1,0.0182,0.0182,0.2,0
1.0001,-6.7154e-05,1,1,0.0183,0.0183,0.2,0
1.0001,-6.7417e-05,1,1,0.0184,0.0184,0.2,0
1.0001,-6.768e-05,1,1,0.0185,0.0185,0.2,0
1.0001,-6.7944e-05,1,1,0.0186,0.0186,0.2,0
1.0001,-6.8207e-05,1,1,0.0187,0.0187,0.2,0
1.0001,-6.847e-05,1,1,0.0188,0.0188,0.2,0
1.0001,-6.8734e-05,1,1,0.0189,0.0189,0.2,0
1.0001,-6.8997e-05,1,1,0.019,0.019,0.2,0
1.0001,-6.926e-05,1,1,0.0191,0.0191,0.2,0
1.0001,-6.9523e-05,1,1,0.0192,0.0192,0.2,0
1.0001,-6.9787e-05,1,1,0.0193,0.0193,0.2,0
1.0001,-7.005e-05,1,1,0.0194,0.0194,0.2,0
1.0001,-7.0313e-05,1,1,0.0195,0.0195,0.2,0
1.0001,-7.0577e-05,1,1,0.0196,0.0196,0.2,0
1.0001,-7.084e-05,1,1,0.0197,0.0197,0.2,0
1.0001,-7.1103e-05,1,1,0.0198,0.0198,0.2,0
1.0001,-7.1366e-05,1,1,0.0199,0.0199,0.2,0
1.0001,-7.163e-05,1,1,0.02,0.02,0.2,0
1.0001,-7.1893e-05,1,1,0.0201,0.0201,0.2,0
1.0001,-7.2156e-05,1,1,0.0202,0.0202,0.2,0
1.0001,-7.242e-05,1,1,0.0203,0.0203,0.2,0
1.0001,-7.2683e-05,1,1,0.0204,0.0204,0.2,0
1.0001,-7.2946e-05,1,1,0.0205,0.0205,0.2,0
1.0001,-7.3209e-05,1,1,0.0206,0.0206,0.2,0
1.0001,-7.3473e-05,1,1,0.0207,0.0207,0.2,0
1.0001,-7.3736e-05,1,1,0.0208,0.0208,0.2,0
1.0001,-7.3999e-05,1,1,0.0209,0.0209,0.2,0
1.0001,-7.4263e-05,1,1,0.021,0.021,0.2,0
1.0001,-7.4526e-05,1,1,0.0211,0.0211,0.2,0
1.0001,-7.4789e-05,1,1,0.0212,0.0212,0.2,0
1.0001,-7.5052e-05,1,1,0.0213,0.0213,0.2,0
1.0001,-7.5316e-05,1,1,0.0214,0.0214,0.2,0
1,-7.5579e-05,1,1,0.0215,0.0215,0.2,0
1,-7.5842e-05,1,1,0.0216,0.0216,0.2,0
1,-7.6106e-05,1,1,0.0217,0.0217,0.2,0
1,-7.6369e-05,1,1,0.0218,0.0218,0.2,0
1,-7.6632e-05,1,1,0.0219,0.0219,0.2,0
1,-7.6895e-05,1,1,0.022,0.022,0.2,0
1,-7.7159e-05,1,1,0.0221,0.0221,0.2,0
1,-7.7422e-05,1,1,0.0222,0.0222,0.2,0
1,-7.7685e-05,1,1,0.0223,0.0223,0.2,0
1,-7.7949e-05,1,1,0.0224,0.0224,0.2,0
1,-7.8212e-05,1,1,0.0225,0.0225,0.2,0
1,-7.8475e-05,1,1,0.0226,0.0226,0.2,0
1,-7.8738e-05,1,1,0.0227,0.0227,0.2,0
1,-7.9002e-05,1,1,0.0228,0.0228,0.2,0
1,-7.9265e-05,1,1,0.0229,0.0229,0.2,0
1,-7.9528e-05,1,1,0.023,0.023,0.2,0
1,-7.9792e-05,1,1,0.0231,0.0231,0.2,0
1,-8.0055e-05,1,1,0.0232,0.0232,0.2,0
1,-8.0318e-05,1,1,0.0233,0.0233,0.2,0
1,-8.0581e-05,1,1,0.0234,0.0234,0.2,0
1,-8.0845e-05,1,1,0.0235,0.0235,0.2,0
1,-8.1108e-05,1,1,0.0236,0.0236,0.2,0
1,-8.1371e-05,1,1,0.0237,0.0237,0.2,0
1,-8.1635e-05,1,1,0.0238,0.0238,0.2,0
1,-8.1898e-05,1,1,0.0239,0.0239,0.2,0
1,-8.2161e-05,1,1,0.024,0.024,0.2,0
1,-8.2424e-05,1,1,0.0241,0.0241,0.2,0
1,-8.2688e-05,1,1,0.0242,0.0242,0.2,0
1,-8.2951e-05,1,1,0.0243,0.0243,0.2,0
1,-8.3214e-05,1,1,0.0244,0.0244,0.2,0
1,-8.3478e-05,1,1,0.0245,0.0245,0.2,0
1,-8.3741e-05,1,1,0.0246,0.0246,0.2,0
1,-8.4004e-05,1,1,0.0247,0.0247,0.2,0
1,-8.4267e-05,1,1,0.0248,0.0248,0.2,0
1,-8.4531e-05,1,1,0.0249,0.0249,0.2,0
1,-8.4794e-05,1,1,0.025,0.025,0.2,0
1,-8.5057e-05,1,1,0.0251,0.0251,0.2,0
1,-8.5321e-05,1,1,0.0252,0.0252,0.2,0
1,-8.5584e-05,1,1,0.0253,0.0253,0.2,0
1,-8.5847e-05,1,1,0.0254,0.0254,0.2,0
1,-8.611e-05,1,1,0.0255,0.0255,0.2,0
1,-8.6374e-05,1,1,0.0256,0.0256,0.2,0
1,-8.6637e-05,1,1,0.0257,0.0257,0.2,0
1,-8.69e-05,1,1,0.0258,0.0258,0.2,0
1,-8.7164e-05,1,1,0.0259,0.0259,0.2,0
1,-8.7427e-05,1,1,0.026,0.026,0.2,0
1,-8.769e-05,1,1,0.0261,0.0261,0.2,0
1,-8.7953e-05,1,1,0.0262,0.0262,0.2,0
1,-8.8217e-05,1,1,0.0263,0.0263,0.2,0
1,-8.848e-05,1,1,0.0264,0.0264,0.2,0
1,-8.8743e-05,1,1,0.0265,0.0265,0.2,0
1,-8.9006e-05,1,1,0.0266,0.0266,0.2,0
1,-8.927e-05,1,1,0.0267,0.0267,0.2,0
1,-8.9533e-05,1,1,0.0268,0.0268,0.2,0
