"Uc","Um","Ue","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.99818,0.0027227,0.99849,1,0,0,0.2,0
0.99819,0.0027158,0.99849,1,0.0001,0.0001,0.2,0
0.99819,0.0027088,0.9985,1,0.0002,0.0002,0.2,0
0.9982,0.0027019,0.9985,1,0.0003,0.0003,0.2,0
0.9982,0.002695,0.9985,1,0.0004,0.0004,0.2,0
0.99821,0.0026881,0.99851,1,0.0005,0.0005,0.2,0
0.99821,0.0026811,0.99851,1,0.0006,0.0006,0.2,0
0.99821,0.0026742,0.99852,1,0.0007,0.0007,0.2,0
0.99822,0.0026673,0.99852,1,0.0008,0.0008,0.2,0
0.99822,0.0026604,0.99852,1,0.0009,0.0009,0.2,0
0.99823,0.0026534,0.99853,1,0.001,0.001,0.2,0
0.99823,0.0026465,0.99853,1,0.0011,0.0011,0.2,0
0.99824,0.0026396,0.99853,1,0.0012,0.0012,0.2,0
0.99824,0.0026327,0.99854,1,0.0013,0.0013,0.2,0
0.99825,0.0026257,0.99854,1,0.0014,0.0014,0.2,0
0.99825,0.0026188,0.99854,1,0.0015,0.0015,0.2,0
0.99825,0.0026119,0.99855,1,0.0016,0.0016,0.2,0
0.99826,0.002605,0.99855,1,0.0017,0.0017,0.2,0
0.99826,0.002598,0.99855,1,0.0018,0.0018,0.2,0
0.99827,0.0025911,0.99856,1,0.0019,0.0019,0.2,0
0.99827,0.0025842,0.99856,1,0.002,0.002,0.2,0
0.99828,0.0025773,0.99856,1,0.0021,0.0021,0.2,0
0.99828,0.0025704,0.99857,1,0.0022,0.0022,0.2,0
0.99829,0.0025634,0.99857,1,0.0023,0.0023,0.2,0
0.99829,0.0025565,0.99857,1,0.0024,0.0024,0.2,0
0.9983,0.0025496,0.99858,1,0.0025,0.0025,0.2,0
0.9983,0.0025427,0.99858,1,0.0026,0.0026,0.2,0
0.9983,0.0025357,0.99858,1,0.0027,0.0027,0.2,0
0.99831,0.0025288,0.99859,1,0.0028,0.0028,0.2,0
0.99831,0.0025219,0.99859,1,0.0029,0.0029,0.2,0
0.99832,0.002515,0.99859,1,0.003,0.003,0.2,0
0.99832,0.002508,0.9986,1,0.0031,0.0031,0.2,0
0.99833,0.0025011,0.9986,1,0.0032,0.0032,0.2,0
0.99833,0.0024942,0.9986,1,0.0033,0.0033,0.2,0
0.99834,0.0024873,0.99861,1,0.0034,0.0034,0.2,0
0.99834,0.0024803,0.99861,1,0.0035,0.0035,0.2,0
