"rho","u1","T","D11","q1","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.94338,1.0785,-0.080806,-0.0030495,0.088875,1,0,-1,1,0
0.94401,1.0778,-0.080347,-0.003389,0.088083,1,0.00099999,-0.999,1,0
0.94463,1.077,-0.079888,-0.0037284,0.087292,1,0.002,-0.998,1,0
0.94525,1.0762,-0.079429,-0.0040679,0.0865,1,0.003,-0.997,1,0
0.94588,1.0754,-0.078971,-0.0044074,0.085708,1,0.004,-0.996,1,0
0.9465,1.0746,-0.078512,-0.0047469,0.084916,1,0.005,-0.995,1,0
0.94712,1.0738,-0.078053,-0.0050863,0.084124,1,0.006,-0.994,1,0
0.94775,1.0731,-0.077594,-0.0054258,0.083332,1,0.007,-0.993,1,0
0.94837,1.0723,-0.077135,-0.0057653,0.082541,1,0.008,-0.992,1,0
0.94899,1.0715,-0.076676,-0.0061047,0.081749,1,0.009,-0.991,1,0
0.94962,1.0707,-0.076217,-0.0064442,0.080957,1,0.01,-0.99,1,0
0.95024,1.0699,-0.075758,-0.0067836,0.080165,1,0.011,-0.989,1,0
0.95086,1.0691,-0.0753,-0.0071231,0.079373,1,0.012,-0.988,1,0
0.95149,1.0684,-0.074841,-0.0074626,0.078582,1,0.013,-0.987,1,0
0.95211,1.0676,-0.074382,-0.007802,0.07779,1,0.014,-0.986,1,0
0.95273,1.0668,-0.073923,-0.0081415,0.076998,1,0.015,-0.985,1,0
0.95335,1.066,-0.073464,-0.008481,0.076206,1,0.016,-0.984,1,0
0.95398,1.0652,-0.073005,-0.0088205,0.075414,1,0.017,-0.983,1,0
0.9546,1.0644,-0.072546,-0.0091599,0.074623,1,0.018,-0.982,1,0
0.95522,1.0637,-0.072087,-0.0094994,0.073831,1,0.019,-0.981,1,0
0.95585,1.0629,-0.071629,-0.0098388,0.073039,1,0.02,-0.98,1,0
0.95647,1.0621,-0.07117,-0.010178,0.072247,1,0.021,-0.979,1,0
0.95709,1.0613,-0.070711,-0.010518,0.071455,1,0.022,-0.978,1,0
0.95772,1.0605,-0.070252,-0.010857,0.070664,1,0.023,-0.977,1,0
0.95834,1.0597,-0.069793,-0.011197,0.069872,1,0.024,-0.976,1,0
0.95896,1.059,-0.069334,-0.011536,0.06908,1,0.025,-0.975,1,0
0.95959,1.0582,-0.068875,-0.011876,0.068288,1,0.026,-0.974,1,0
0.96021,1.0574,-0.068416,-0.012215,0.067496,1,0.027,-0.973,1,0
0.96083,1.0566,-0.067958,-0.012555,0.066705,1,0.028,-0.972,1,0
0.96146,1.0558,-0.067499,-0.012894,0.065913,1,0.029,-0.971,1,0
0.96208,1.055,-0.06704,-0.013233,0.065121,1,0.03,-0.97,1,0
0.9627,1.0543,-0.066581,-0.013573,0.064329,1,0.031,-0.969,1,0
0.96333,1.0535,-0.066122,-0.013912,0.063537,1,0.032,-0.968,1,0
0.96395,1.0527,-0.065663,-0.014252,0.062746,1,0.033,-0.967,1,0
0.96457,1.0519,-0.065204,-0.014591,0.061954,1,0.034,-0.966,1,0
0.9652,1.0511,-0.064745,-0.014931,0.061162,1,0.035,-0.965,1,0
0.96582,1.0503,-0.064287,-0.01527,0.06037,1,0.036,-0.964,1,0
0.96644,1.0496,-0.063828,-0.01561,0.059578,1,0.037,-0.963,1,0
0.96707,1.0488,-0.063369,-0.015949,0.058787,1,0.038,-0.962,1,0
0.96769,1.048,-0.06291,-0.016289,0.057995,1,0.039,-0.961,1,0
0.96831,1.0472,-0.062451,-0.016628,0.057203,1,0.04,-0.96,1,0
0.96894,1.0464,-0.061992,-0.016968,0.056411,1,0.041,-0.959,1,0
0.96956,1.0456,-0.061533,-0.017307,0.055619,1,0.042,-0.958,1,0
0.97018,1.0449,-0.061075,-0.017647,0.054828,1,0.043,-0.957,1,0
0.97081,1.0441,-0.060616,-0.017986,0.054036,1,0.044,-0.956,1,0
0.97143,1.0433,-0.060157,-0.018325,0.053244,1,0.045,-0.955,1,0
0.97205,1.0425,-0.059698,-0.018665,0.052452,1,0.046,-0.954,1,0
0.97268,1.0417,-0.059239,-0.019004,0.05166,1,0.047,-0.953,1,0
0.9733,1.0409,-0.05878,-0.019344,0.050869,1,0.048,-0.952,1,0
0.97392,1.0402,-0.058321,-0.019683,0.050077,1,0.049,-0.951,1,0
0.97455,1.0394,-0.057862,-0.020023,0.049285,1,0.05,-0.95,1,0
0.97517,1.0386,-0.057404,-0.020362,0.048493,1,0.051,-0.949,1,0
0.97579,1.0378,-0.056945,-0.020702,0.047701,1,0.052,-0.948,1,0
0.97642,1.037,-0.056486,-0.021041,0.04691,1,0.053,-0.947,1,0
0.97704,1.0363,-0.056027,-0.021381,0.046118,1,0.054,-0.946,1,0
0.97766,1.0355,-0.055568,-0.02172,0.045326,1,0.055,-0.945,1,0
0.97829,1.0347,-0.055109,-0.02206,0.044534,1,0.056,-0.944,1,0
0.97891,1.0339,-0.05465,-0.022399,0.043742,1,0.057,-0.943,1,0
0.97953,1.0331,-0.054191,-0.022739,0.04295,1,0.058,-0.942,1,0
0.98016,1.0323,-0.053733,-0.023078,0.042159,1,0.059,-0.941,1,0
0.98078,1.0316,-0.053274,-0.023417,0.041367,1,0.06,-0.94,1,0
0.9814,1.0308,-0.052815,-0.023757,0.040575,1,0.061,-0.939,1,0
0.98203,1.03,-0.052356,-0.024096,0.039783,1,0.062,-0.938,1,0
