"rho","u1","T","D11","q1","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.0006,-0.0012906,2.5001,-4.5132e-05,6.5922e-06,1,0,0,0.2,0
1.0006,-0.0012529,2.5001,-4.3475e-05,6.5567e-06,1,0.001,0.001,0.2,0
1.0005,-0.0012151,2.5001,-4.1818e-05,6.5213e-06,1,0.002,0.002,0.2,0
1.0005,-0.0011774,2.5001,-4.0162e-05,6.4858e-06,1,0.003,0.003,0.2,0
1.0005,-0.0011397,2.5001,-3.8505e-05,6.4504e-06,1,0.004,0.004,0.2,0
1.0005,-0.001102,2.5001,-3.6848e-05,6.4149e-06,1,0.005,0.005,0.2,0
1.0004,-0.0010643,2.5001,-3.5191e-05,6.3795e-06,1,0.006,0.006,0.2,0
1.0004,-0.0010266,2.5001,-3.3535e-05,6.344e-06,1,0.007,0.007,0.2,0
1.0004,-0.0009889,2.5001,-3.1878e-05,6.3086e-06,1,0.008,0.008,0.2,0
1.0004,-0.00095119,2.5,-3.0221e-05,6.2731e-06,1,0.009,0.009,0.2,0
1.0004,-0.00091348,2.5,-2.8564e-05,6.2377e-06,1,0.01,0.01,0.2,0
1.0003,-0.00087577,2.5,-2.6908e-05,6.2022e-06,1,0.011,0.011,0.2,0
1.0003,-0.00083806,2.5,-2.5251e-05,6.1668e-06,1,0.012,0.012,0.2,0
1.0003,-0.00080036,2.5,-2.3594e-05,6.1313e-06,1,0.013,0.013,0.2,0
1.0003,-0.00076265,2.5,-2.1938e-05,6.0959e-06,1,0.014,0.014,0.2,0
1.0003,-0.00072494,2.5,-2.0281e-05,6.0604e-06,1,0.015,0.015,0.2,0
1.0002,-0.00068723,2.5,-1.8624e-05,6.025e-06,1,0.016,0.016,0.2,0
1.0002,-0.00064952,2.5,-1.6967e-05,5.9895e-06,1,0.017,0.017,0.2,0
1.0002,-0.00061181,2.5,-1.5311e-05,5.9541e-06,1,0.018,0.018,0.2,0
1.0002,-0.00057411,2.4999,-1.3654e-05,5.9187e-06,1,0.019,0.019,0.2,0
1.0002,-0.0005364,2.4999,-1.1997e-05,5.8832e-06,1,0.02,0.02,0.2,0
1.0001,-0.00049869,2.4999,-1.034e-05,5.8478e-06,1,0.021,0.021,0.2,0
1.0001,-0.00046098,2.4999,-8.6837e-06,5.8123e-06,1,0.022,0.022,0.2,0
1.0001,-0.00042327,2.4999,-7.027e-06,5.7769e-06,1,0.023,0.023,0.2,0
1.0001,-0.00038556,2.4999,-5.3703e-06,5.7414e-06,1,0.024,0.024,0.2,0
1,-0.00034786,2.4999,-3.7136e-06,5.706e-06,1,0.025,0.025,0.2,0
1,-0.00031015,2.4999,-2.0568e-06,5.6705e-06,1,0.026,0.026,0.2,0
1,-0.00027244,2.4999,-4.0011e-07,5.6351e-06,1,0.027,0.027,0.2,0
0.99999,-0.00023473,2.4998,1.2566e-06,5.5996e-06,1,0.028,0.028,0.2,0
0.99996,-0.00019702,2.4998,2.9133e-06,5.5642e-06,1,0.029,0.029,0.2,0
0.99994,-0.00015931,2.4998,4.5701e-06,5.5287e-06,1,0.03,0.03,0.2,0
0.99992,-0.0001216,2.4998,6.2268e-06,5.4933e-06,1,0.031,0.031,0.2,0
0.9999,-8.3896e-05,2.4998,7.8835e-06,5.4578e-06,1,0.032,0.032,0.2,0
0.99988,-4.6188e-05,2.4998,9.5403e-06,5.4224e-06,1,0.033,0.033,0.2,0
0.99986,-8.4795e-06,2.4998,1.1197e-05,5.3869e-06,1,0.034,0.034,0.2,0
0.99984,2.9229e-05,2.4998,1.2854e-05,5.3515e-06,1,0.035,0.035,0.2,0
0.99982,6.6937e-05,2.4998,1.451e-05,5.316e-06,1,0.036,0.036,0.2,0
0.9998,0.00010465,2.4998,1.6167e-05,5.2806e-06,1,0.037,0.037,0.2,0
0.99978,0.00014235,2.4997,1.7824e-05,5.2451e-06,1,0.038,0.038,0.2,0
0.99975,0.00018006,2.4997,1.9481e-05,5.2097e-06,1,0.039,0.039,0.2,0
0.99973,0.00021777,2.4997,2.1137e-05,5.1743e-06,1,0.04,0.04,0.2,0
0.99971,0.00025548,2.4997,2.2794e-05,5.1388e-06,1,0.041,0.041,0.2,0
0.9997,0.00027939,2.4997,2.3652e-05,4.9398e-06,1,0.042,0.042,0.2,0
0.99971,0.00027572,2.4997,2.2911e-05,4.4137e-06,1,0.043,0.043,0.2,0
0.99972,0.00027205,2.4997,2.2171e-05,3.8876e-06,1,0.044,0.044,0.2,0
0.99973,0.00026838,2.4997,2.143e-05,3.3615e-06,1,0.045,0.045,0.2,0
0.99974,0.00026471,2.4998,2.0689e-05,2.8355e-06,1,0.046,0.046,0.2,0
0.99975,0.00026104,2.4998,1.9949e-05,2.3094e-06,1,0.047,0.047,0.2,0
0.99977,0.00025736,2.4998,1.9208e-05,1.7833e-06,1,0.048,0.048,0.2,0
0.99978,0.00025369,2.4998,1.8468e-05,1.2572e-06,1,0.049,0.049,0.2,0
0.99979,0.00025002,2.4998,1.7727e-05,7.3111e-07,1,0.05,0.05,0.2,0
0.9998,0.00024635,2.4998,1.6986e-05,2.0502e-07,1,0.051,0.051,0.2,0
0.99981,0.00024268,2.4998,1.6246e-05,-3.2106e-07,1,0.052,0.052,0.2,0
0.99982,0.00023901,2.4998,1.5505e-05,-8.4715e-07,1,0.053,0.053,0.2,0
0.99983,0.00023533,2.4998,1.4765e-05,-1.3732e-06,1,0.054,0.054,0.2,0
0.99984,0.00023166,2.4998,1.4024e-05,-1.8993e-06,1,0.055,0.055,0.2,0
0.99985,0.00022799,2.4998,1.3283e-05,-2.4254e-06,1,0.056,0.056,0.2,0
0.99986,0.00022432,2.4999,1.2543e-05,-2.9515e-06,1,0.057,0.057,0.2,0
0.99987,0.00022065,2.4999,1.1802e-05,-3.4776e-06,1,0.058,0.058,0.2,0
0.99988,0.00021697,2.4999,1.1062e-05,-4.0037e-06,1,0.059,0.059,0.2,0
