"rho","u1","T","D11","q1","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.99712,0.0029402,2.4979,-5.8643e-05,-7.7076e-05,1,0,0,0.2,0
0.99717,0.0028586,2.4979,-5.8044e-05,-7.6286e-05,1,0.001,0.001,0.2,0
0.99723,0.002777,2.498,-5.7445e-05,-7.5495e-05,1,0.002,0.002,0.2,0
0.99728,0.0026954,2.4981,-5.6846e-05,-7.4705e-05,1,0.003,0.003,0.2,0
0.99734,0.0026139,2.4981,-5.6247e-05,-7.3914e-05,1,0.004,0.004,0.2,0
0.99739,0.0025323,2.4982,-5.5648e-05,-7.3123e-05,1,0.005,0.005,0.2,0
0.99745,0.0024507,2.4982,-5.5049e-05,-7.2333e-05,1,0.006,0.006,0.2,0
0.9975,0.0023692,2.4983,-5.445e-05,-7.1542e-05,1,0.007,0.007,0.2,0
0.99756,0.0022876,2.4983,-5.3851e-05,-7.0751e-05,1,0.008,0.008,0.2,0
0.99761,0.002206,2.4984,-5.3251e-05,-6.9961e-05,1,0.009,0.009,0.2,0
0.99767,0.0021244,2.4985,-5.2652e-05,-6.917e-05,1,0.01,0.01,0.2,0
0.99772,0.0020429,2.4985,-5.2053e-05,-6.838e-05,1,0.011,0.011,0.2,0
0.99778,0.0019613,2.4986,-5.1454e-05,-6.7589e-05,1,0.012,0.012,0.2,0
0.99783,0.0018797,2.4986,-5.0855e-05,-6.6798e-05,1,0.013,0.013,0.2,0
0.99789,0.0017982,2.4987,-5.0256e-05,-6.6008e-05,1,0.014,0.014,0.2,0
0.99794,0.0017166,2.4988,-4.9657e-05,-6.5217e-05,1,0.015,0.015,0.2,0
0.998,0.001635,2.4988,-4.9058e-05,-6.4426e-05,1,0.016,0.016,0.2,0
0.99805,0.0015534,2.4989,-4.8459e-05,-6.3636e-05,1,0.017,0.017,0.2,0
0.99811,0.0014719,2.4989,-4.786e-05,-6.2845e-05,1,0.018,0.018,0.2,0
0.99816,0.0013903,2.499,-4.726e-05,-6.2055e-05,1,0.019,0.019,0.2,0
0.99822,0.0013087,2.499,-4.6661e-05,-6.1264e-05,1,0.02,0.02,0.2,0
0.99827,0.0012272,2.4991,-4.6062e-05,-6.0473e-05,1,0.021,0.021,0.2,0
0.99833,0.0011456,2.4992,-4.5463e-05,-5.9683e-05,1,0.022,0.022,0.2,0
0.99838,0.001064,2.4992,-4.4864e-05,-5.8892e-05,1,0.023,0.023,0.2,0
0.99844,0.00098244,2.4993,-4.4265e-05,-5.8102e-05,1,0.024,0.024,0.2,0
0.99849,0.00090087,2.4993,-4.3666e-05,-5.7311e-05,1,0.025,0.025,0.2,0
0.99855,0.0008193,2.4994,-4.3067e-05,-5.652e-05,1,0.026,0.026,0.2,0
0.9986,0.00073773,2.4994,-4.2468e-05,-5.573e-05,1,0.027,0.027,0.2,0
0.99866,0.00065616,2.4995,-4.1869e-05,-5.4939e-05,1,0.028,0.028,0.2,0
0.99871,0.00057459,2.4996,-4.1269e-05,-5.4148e-05,1,0.029,0.029,0.2,0
0.99877,0.00049301,2.4996,-4.067e-05,-5.3358e-05,1,0.03,0.03,0.2,0
0.99882,0.00041144,2.4997,-4.0071e-05,-5.2567e-05,1,0.031,0.031,0.2,0
0.99888,0.00032987,2.4997,-3.9472e-05,-5.1777e-05,1,0.032,0.032,0.2,0
0.99893,0.0002483,2.4998,-3.8873e-05,-5.0986e-05,1,0.033,0.033,0.2,0
0.99899,0.00016673,2.4999,-3.8274e-05,-5.0195e-05,1,0.034,0.034,0.2,0
0.99904,8.5157e-05,2.4999,-3.7675e-05,-4.9405e-05,1,0.035,0.035,0.2,0
0.9991,3.5855e-06,2.5,-3.7076e-05,-4.8614e-05,1,0.036,0.036,0.2,0
0.99915,-7.7986e-05,2.5,-3.6477e-05,-4.7823e-05,1,0.037,0.037,0.2,0
0.99921,-0.00015956,2.5001,-3.5878e-05,-4.7033e-05,1,0.038,0.038,0.2,0
0.99926,-0.00024113,2.5001,-3.5278e-05,-4.6242e-05,1,0.039,0.039,0.2,0
0.99932,-0.0003227,2.5002,-3.4679e-05,-4.5452e-05,1,0.04,0.04,0.2,0
0.99937,-0.00040427,2.5003,-3.408e-05,-4.4661e-05,1,0.041,0.041,0.2,0
0.99943,-0.00048584,2.5003,-3.3481e-05,-4.387e-05,1,0.042,0.042,0.2,0
0.99948,-0.00056742,2.5004,-3.2882e-05,-4.308e-05,1,0.043,0.043,0.2,0
0.99954,-0.00064899,2.5004,-3.2283e-05,-4.2289e-05,1,0.044,0.044,0.2,0
0.99959,-0.00073056,2.5005,-3.1684e-05,-4.1499e-05,1,0.045,0.045,0.2,0
0.99965,-0.00081213,2.5006,-3.1085e-05,-4.0708e-05,1,0.046,0.046,0.2,0
0.9997,-0.0008937,2.5006,-3.0486e-05,-3.9917e-05,1,0.047,0.047,0.2,0
0.99976,-0.00097527,2.5007,-2.9887e-05,-3.9127e-05,1,0.048,0.048,0.2,0
0.99981,-0.0010568,2.5007,-2.9287e-05,-3.8336e-05,1,0.049,0.049,0.2,0
0.99987,-0.0011384,2.5008,-2.8688e-05,-3.7545e-05,1,0.05,0.05,0.2,0
0.99992,-0.00122,2.5008,-2.8089e-05,-3.6755e-05,1,0.051,0.051,0.2,0
0.99998,-0.0013016,2.5009,-2.749e-05,-3.5964e-05,1,0.052,0.052,0.2,0
1,-0.0013831,2.501,-2.6891e-05,-3.5174e-05,1,0.053,0.053,0.2,0
1.0001,-0.0014647,2.501,-2.6292e-05,-3.4383e-05,1,0.054,0.054,0.2,0
1.0001,-0.0015463,2.5011,-2.5693e-05,-3.3592e-05,1,0.055,0.055,0.2,0
1.0002,-0.0016278,2.5011,-2.5094e-05,-3.2802e-05,1,0.056,0.056,0.2,0
1.0003,-0.0017094,2.5012,-2.4495e-05,-3.2011e-05,1,0.057,0.057,0.2,0
1.0003,-0.001791,2.5012,-2.3896e-05,-3.122e-05,1,0.058,0.058,0.2,0
1.0004,-0.0018726,2.5013,-2.3296e-05,-3.043e-05,1,0.059,0.059,0.2,0
1.0004,-0.0019541,2.5014,-2.2697e-05,-2.9639e-05,1,0.06,0.06,0.2,0
1.0005,-0.0020357,2.5014,-2.2098e-05,-2.8849e-05,1,0.061,0.061,0.2,0
1.0005,-0.0021173,2.5015,-2.1499e-05,-2.8058e-05,1,0.062,0.062,0.2,0
1.0006,-0.0021988,2.5015,-2.09e-05,-2.7267e-05,1,0.063,0.063,0.2,0
1.0006,-0.0022804,2.5016,-2.0301e-05,-2.6477e-05,1,0.064,0.064,0.2,0
1.0007,-0.002362,2.5017,-1.9702e-05,-2.5686e-05,1,0.065,0.065,0.2,0
1.0007,-0.0024436,2.5017,-1.9103e-05,-2.4895e-05,1,0.066,0.066,0.2,0
1.0008,-0.0025251,2.5018,-1.8504e-05,-2.4105e-05,1,0.067,0.067,0.2,0
1.0009,-0.0026067,2.5018,-1.7905e-05,-2.3314e-05,1,0.068,0.068,0.2,0
1.0009,-0.0026883,2.5019,-1.7305e-05,-2.2524e-05,1,0.069,0.069,0.2,0
1.001,-0.0027698,2.5019,-1.6706e-05,-2.1733e-05,1,0.07,0.07,0.2,0
1.001,-0.0028514,2.502,-1.6107e-05,-2.0942e-05,1,0.071,0.071,0.2,0
1.0011,-0.002933,2.5021,-1.5508e-05,-2.0152e-05,1,0.072,0.072,0.2,0
1.0011,-0.0030146,2.5021,-1.4909e-05,-1.9361e-05,1,0.073,0.073,0.2,0
1.0012,-0.0030961,2.5022,-1.431e-05,-1.8571e-05,1,0.074,0.074,0.2,0
1.0012,-0.0031777,2.5022,-1.3711e-05,-1.778e-05,1,0.075,0.075,0.2,0
