"rho","u1","T","D11","q1","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1,-7.0551e-09,2.5,3.0545e-11,-5.085e-10,1,0,0,0.2,0
1,-6.5436e-09,2.5,3.0051e-11,-4.8962e-10,1,0.001,0.001,0.2,0
1,-6.0321e-09,2.5,2.9556e-11,-4.7073e-10,1,0.002,0.002,0.2,0
1,-5.5206e-09,2.5,2.9062e-11,-4.5184e-10,1,0.003,0.003,0.2,0
1,-5.0091e-09,2.5,2.8567e-11,-4.3295e-10,1,0.004,0.004,0.2,0
1,-4.4976e-09,2.5,2.8073e-11,-4.1406e-10,1,0.005,0.005,0.2,0
1,-3.9862e-09,2.5,2.7578e-11,-3.9517e-10,1,0.006,0.006,0.2,0
1,-3.4747e-09,2.5,2.7083e-11,-3.7628e-10,1,0.007,0.007,0.2,0
1,-2.9632e-09,2.5,2.6589e-11,-3.5739e-10,1,0.008,0.008,0.2,0
1,-2.4517e-09,2.5,2.6094e-11,-3.385e-10,1,0.009,0.009,0.2,0
1,-1.9402e-09,2.5,2.56e-11,-3.1961e-10,1,0.01,0.01,0.2,0
1,-1.4287e-09,2.5,2.5105e-11,-3.0072e-10,1,0.011,0.011,0.2,0
1,-9.1722e-10,2.5,2.4611e-11,-2.8183e-10,1,0.012,0.012,0.2,0
1,-4.0573e-10,2.5,2.4116e-11,-2.6295e-10,1,0.013,0.013,0.2,0
1,1.0576e-10,2.5,2.3621e-11,-2.4406e-10,1,0.014,0.014,0.2,0
1,6.1724e-10,2.5,2.3127e-11,-2.2517e-10,1,0.015,0.015,0.2,0
1,1.1287e-09,2.5,2.2632e-11,-2.0628e-10,1,0.016,0.016,0.2,0
1,1.6402e-09,2.5,2.2138e-11,-1.8739e-10,1,0.017,0.017,0.2,0
1,2.1517e-09,2.5,2.1643e-11,-1.685e-10,1,0.018,0.018,0.2,0
1,2.6632e-09,2.5,2.1149e-11,-1.4961e-10,1,0.019,0.019,0.2,0
1,3.1747e-09,2.5,2.0654e-11,-1.3072e-10,1,0.02,0.02,0.2,0
1,3.6862e-09,2.5,2.016e-11,-1.1183e-10,1,0.021,0.021,0.2,0
1,4.1977e-09,2.5,1.9665e-11,-9.2943e-11,1,0.022,0.022,0.2,0
1,4.7092e-09,2.5,1.917e-11,-7.4054e-11,1,0.023,0.023,0.2,0
1,5.2206e-09,2.5,1.8676e-11,-5.5165e-11,1,0.024,0.024,0.2,0
1,5.7321e-09,2.5,1.8181e-11,-3.6275e-11,1,0.025,0.025,0.2,0
1,6.2436e-09,2.5,1.7687e-11,-1.7386e-11,1,0.026,0.026,0.2,0
