"rho","u1","T","D11","q1","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.99821,0.0041154,2.4972,0.00010116,0.00011056,1,0,0,0.2,0
0.99824,0.0040566,2.4973,9.9425e-05,0.00010856,1,0.001,0.001,0.2,0
0.99828,0.0039979,2.4973,9.7687e-05,0.00010655,1,0.002,0.002,0.2,0
0.99831,0.0039391,2.4974,9.5948e-05,0.00010454,1,0.003,0.003,0.2,0
0.99834,0.0038804,2.4974,9.421e-05,0.00010253,1,0.004,0.004,0.2,0
0.99838,0.0038216,2.4975,9.2472e-05,0.00010053,1,0.005,0.005,0.2,0
0.99841,0.0037629,2.4975,9.0734e-05,9.8521e-05,1,0.006,0.006,0.2,0
0.99845,0.0037041,2.4975,8.8996e-05,9.6513e-05,1,0.007,0.007,0.2,0
0.99848,0.0036454,2.4976,8.7258e-05,9.4506e-05,1,0.008,0.008,0.2,0
0.99852,0.0035866,2.4976,8.552e-05,9.2499e-05,1,0.009,0.009,0.2,0
0.99855,0.0035278,2.4977,8.3782e-05,9.0492e-05,1,0.01,0.01,0.2,0
0.99859,0.0034691,2.4977,8.2044e-05,8.8484e-05,1,0.011,0.011,0.2,0
0.99862,0.0034103,2.4978,8.0306e-05,8.6477e-05,1,0.012,0.012,0.2,0
0.99866,0.0033516,2.4978,7.8568e-05,8.447e-05,1,0.013,0.013,0.2,0
0.99869,0.0032928,2.4979,7.683e-05,8.2463e-05,1,0.014,0.014,0.2,0
0.99873,0.0032341,2.4979,7.5092e-05,8.0455e-05,1,0.015,0.015,0.2,0
0.99876,0.0031753,2.498,7.3354e-05,7.8448e-05,1,0.016,0.016,0.2,0
0.9988,0.0031166,2.498,7.1616e-05,7.6441e-05,1,0.017,0.017,0.2,0
0.99883,0.0030578,2.498,6.9878e-05,7.4434e-05,1,0.018,0.018,0.2,0
0.99887,0.002999,2.4981,6.814e-05,7.2426e-05,1,0.019,0.019,0.2,0
0.9989,0.0029403,2.4981,6.6402e-05,7.0419e-05,1,0.02,0.02,0.2,0
0.99894,0.0028815,2.4982,6.4664e-05,6.8412e-05,1,0.021,0.021,0.2,0
0.99897,0.0028228,2.4982,6.2926e-05,6.6405e-05,1,0.022,0.022,0.2,0
0.99901,0.002764,2.4983,6.1188e-05,6.4397e-05,1,0.023,0.023,0.2,0
0.99904,0.0027053,2.4983,5.945e-05,6.239e-05,1,0.024,0.024,0.2,0
0.99907,0.0026465,2.4984,5.7712e-05,6.0383e-05,1,0.025,0.025,0.2,0
0.99911,0.0025877,2.4984,5.5974e-05,5.8376e-05,1,0.026,0.026,0.2,0
0.99914,0.002529,2.4985,5.4235e-05,5.6368e-05,1,0.027,0.027,0.2,0
0.99918,0.0024702,2.4985,5.2497e-05,5.4361e-05,1,0.028,0.028,0.2,0
0.99921,0.0024115,2.4985,5.0759e-05,5.2354e-05,1,0.029,0.029,0.2,0
0.99925,0.0023527,2.4986,4.9021e-05,5.0347e-05,1,0.03,0.03,0.2,0
0.99928,0.002294,2.4986,4.7283e-05,4.8339e-05,1,0.031,0.031,0.2,0
0.99932,0.0022352,2.4987,4.5545e-05,4.6332e-05,1,0.032,0.032,0.2,0
0.99935,0.0021765,2.4987,4.3807e-05,4.4325e-05,1,0.033,0.033,0.2,0
0.99939,0.0021177,2.4988,4.2069e-05,4.2318e-05,1,0.034,0.034,0.2,0
0.99942,0.0020589,2.4988,4.0331e-05,4.031e-05,1,0.035,0.035,0.2,0
0.99946,0.0020002,2.4989,3.8593e-05,3.8303e-05,1,0.036,0.036,0.2,0
0.99949,0.0019414,2.4989,3.6855e-05,3.6296e-05,1,0.037,0.037,0.2,0
0.99953,0.0018827,2.499,3.5117e-05,3.4289e-05,1,0.038,0.038,0.2,0
0.99956,0.0018239,2.499,3.3379e-05,3.2281e-05,1,0.039,0.039,0.2,0
0.9996,0.0017652,2.499,3.1641e-05,3.0274e-05,1,0.04,0.04,0.2,0
0.99963,0.0017064,2.4991,2.9903e-05,2.8267e-05,1,0.041,0.041,0.2,0
0.99967,0.0016477,2.4991,2.8165e-05,2.626e-05,1,0.042,0.042,0.2,0
0.9997,0.0015889,2.4992,2.6427e-05,2.4253e-05,1,0.043,0.043,0.2,0
0.99974,0.0015301,2.4992,2.4689e-05,2.2245e-05,1,0.044,0.044,0.2,0
0.99977,0.0014714,2.4993,2.2951e-05,2.0238e-05,1,0.045,0.045,0.2,0
0.9998,0.0014126,2.4993,2.1213e-05,1.8231e-05,1,0.046,0.046,0.2,0
0.99984,0.0013539,2.4994,1.9475e-05,1.6224e-05,1,0.047,0.047,0.2,0
0.99987,0.0012951,2.4994,1.7737e-05,1.4216e-05,1,0.048,0.048,0.2,0
0.99991,0.0012364,2.4995,1.5999e-05,1.2209e-05,1,0.049,0.049,0.2,0
0.99994,0.0011776,2.4995,1.4261e-05,1.0202e-05,1,0.05,0.05,0.2,0
0.99998,0.0011188,2.4995,1.2523e-05,8.1946e-06,1,0.051,0.051,0.2,0
