"rho","u1","T","D11","q1","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1,-1.1286e-08,2.5,-8.1921e-13,-4.6934e-10,1,0,0,0.2,0
1,-1.0716e-08,2.5,-3.7303e-13,-4.5183e-10,1,0.001,0.001,0.2,0
1,-1.0146e-08,2.5,7.316e-14,-4.3432e-10,1,0.002,0.002,0.2,0
1,-9.5757e-09,2.5,5.1935e-13,-4.1681e-10,1,0.003,0.003,0.2,0
1,-9.0056e-09,2.5,9.6553e-13,-3.993e-10,1,0.004,0.004,0.2,0
1,-8.4354e-09,2.5,1.4117e-12,-3.8179e-10,1,0.005,0.005,0.2,0
1,-7.8652e-09,2.5,1.8579e-12,-3.6428e-10,1,0.006,0.006,0.2,0
1,-7.295e-09,2.5,2.3041e-12,-3.4677e-10,1,0.007,0.007,0.2,0
1,-6.7248e-09,2.5,2.7503e-12,-3.2926e-10,1,0.008,0.008,0.2,0
1,-6.1546e-09,2.5,3.1965e-12,-3.1175e-10,1,0.009,0.009,0.2,0
1,-5.5844e-09,2.5,3.6427e-12,-2.9424e-10,1,0.01,0.01,0.2,0
1,-5.0142e-09,2.5,4.0888e-12,-2.7673e-10,1,0.011,0.011,0.2,0
1,-4.444e-09,2.5,4.535e-12,-2.5922e-10,1,0.012,0.012,0.2,0
1,-3.8738e-09,2.5,4.9812e-12,-2.4171e-10,1,0.013,0.013,0.2,0
1,-3.3036e-09,2.5,5.4274e-12,-2.242e-10,1,0.014,0.014,0.2,0
1,-2.7334e-09,2.5,5.8736e-12,-2.0669e-10,1,0.015,0.015,0.2,0
1,-2.1632e-09,2.5,6.3198e-12,-1.8918e-10,1,0.016,0.016,0.2,0
1,-1.593e-09,2.5,6.766e-12,-1.7167e-10,1,0.017,0.017,0.2,0
1,-1.0228e-09,2.5,7.2122e-12,-1.5416e-10,1,0.018,0.018,0.2,0
1,-4.5259e-10,2.5,7.6583e-12,-1.3666e-10,1,0.019,0.019,0.2,0
1,1.176e-10,2.5,8.1045e-12,-1.1915e-10,1,0.02,0.02,0.2,0
1,6.878e-10,2.5,8.5507e-12,-1.0164e-10,1,0.021,0.021,0.2,0
1,1.258e-09,2.5,8.9969e-12,-8.4126e-11,1,0.022,0.022,0.2,0
1,1.8282e-09,2.5,9.4431e-12,-6.6617e-11,1,0.023,0.023,0.2,0
1,2.3984e-09,2.5,9.8893e-12,-4.9107e-11,1,0.024,0.024,0.2,0
1,2.9686e-09,2.5,1.0335e-11,-3.1597e-11,1,0.025,0.025,0.2,0
1,3.5388e-09,2.5,1.0782e-11,-1.4088e-11,1,0.026,0.026,0.2,0
1,4.109e-09,2.5,1.1228e-11,3.4221e-12,1,0.027,0.027,0.2,0
1,4.6792e-09,2.5,1.1674e-11,2.0932e-11,1,0.028,0.028,0.2,0
1,5.2494e-09,2.5,1.212e-11,3.8441e-11,1,0.029,0.029,0.2,0
1,5.8196e-09,2.5,1.2566e-11,5.5951e-11,1,0.03,0.03,0.2,0
1,6.3898e-09,2.5,1.3013e-11,7.3461e-11,1,0.031,0.031,0.2,0
