"rho","u1","T","D11","q1","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.0008,-0.0013721,2.5001,-7.3039e-05,1.407e-06,1,0,0,0.2,0
1.0008,-0.0013331,2.5001,-7.047e-05,1.4766e-06,1,0.001,0.001,0.2,0
1.0008,-0.0012941,2.5001,-6.7901e-05,1.5461e-06,1,0.002,0.002,0.2,0
1.0007,-0.0012552,2.5001,-6.5332e-05,1.6156e-06,1,0.003,0.003,0.2,0
1.0007,-0.0012162,2.5001,-6.2763e-05,1.6852e-06,1,0.004,0.004,0.2,0
1.0007,-0.0011773,2.5001,-6.0194e-05,1.7547e-06,1,0.005,0.005,0.2,0
1.0006,-0.0011383,2.5001,-5.7625e-05,1.8242e-06,1,0.006,0.006,0.2,0
1.0006,-0.0010993,2.5001,-5.5056e-05,1.8938e-06,1,0.007,0.007,0.2,0
1.0006,-0.0010604,2.5001,-5.2487e-05,1.9633e-06,1,0.008,0.008,0.2,0
1.0005,-0.0010214,2.5001,-4.9919e-05,2.0329e-06,1,0.009,0.009,0.2,0
1.0005,-0.00098247,2.5001,-4.735e-05,2.1024e-06,1,0.01,0.01,0.2,0
1.0005,-0.00094352,2.5,-4.4781e-05,2.1719e-06,1,0.011,0.011,0.2,0
1.0005,-0.00090456,2.5,-4.2212e-05,2.2415e-06,1,0.012,0.012,0.2,0
1.0004,-0.0008656,2.5,-3.9643e-05,2.311e-06,1,0.013,0.013,0.2,0
1.0004,-0.00082664,2.5,-3.7074e-05,2.3805e-06,1,0.014,0.014,0.2,0
1.0004,-0.00078768,2.5,-3.4505e-05,2.4501e-06,1,0.015,0.015,0.2,0
1.0003,-0.00074872,2.5,-3.1936e-05,2.5196e-06,1,0.016,0.016,0.2,0
1.0003,-0.00070977,2.5,-2.9367e-05,2.5891e-06,1,0.017,0.017,0.2,0
1.0003,-0.00067081,2.5,-2.6799e-05,2.6587e-06,1,0.018,0.018,0.2,0
1.0002,-0.00063185,2.5,-2.423e-05,2.7282e-06,1,0.019,0.019,0.2,0
1.0002,-0.00059289,2.5,-2.1661e-05,2.7977e-06,1,0.02,0.02,0.2,0
1.0002,-0.00055393,2.5,-1.9092e-05,2.8673e-06,1,0.021,0.021,0.2,0
1.0001,-0.00051497,2.5,-1.6523e-05,2.9368e-06,1,0.022,0.022,0.2,0
1.0001,-0.00047602,2.5,-1.3954e-05,3.0063e-06,1,0.023,0.023,0.2,0
1.0001,-0.00043706,2.5,-1.1385e-05,3.0759e-06,1,0.024,0.024,0.2,0
1.0001,-0.0003981,2.5,-8.8163e-06,3.1454e-06,1,0.025,0.025,0.2,0
1,-0.00035914,2.4999,-6.2474e-06,3.2149e-06,1,0.026,0.026,0.2,0
0.99999,-0.00032018,2.4999,-3.6785e-06,3.2845e-06,1,0.027,0.027,0.2,0
0.99996,-0.00028122,2.4999,-1.1096e-06,3.354e-06,1,0.028,0.028,0.2,0
0.99993,-0.00024227,2.4999,1.4593e-06,3.4235e-06,1,0.029,0.029,0.2,0
0.9999,-0.00020331,2.4999,4.0282e-06,3.4931e-06,1,0.03,0.03,0.2,0
0.99987,-0.00016435,2.4999,6.597e-06,3.5626e-06,1,0.031,0.031,0.2,0
0.99984,-0.00012539,2.4999,9.1659e-06,3.6321e-06,1,0.032,0.032,0.2,0
0.99981,-8.6432e-05,2.4999,1.1735e-05,3.7017e-06,1,0.033,0.033,0.2,0
0.99978,-4.7473e-05,2.4999,1.4304e-05,3.7712e-06,1,0.034,0.034,0.2,0
0.99975,-8.5151e-06,2.4999,1.6873e-05,3.8408e-06,1,0.035,0.035,0.2,0
0.99972,3.0443e-05,2.4999,1.9441e-05,3.9103e-06,1,0.036,0.036,0.2,0
0.99968,6.9402e-05,2.4999,2.201e-05,3.9798e-06,1,0.037,0.037,0.2,0
0.99965,0.00010836,2.4999,2.4579e-05,4.0494e-06,1,0.038,0.038,0.2,0
0.99962,0.00014732,2.4999,2.7148e-05,4.1189e-06,1,0.039,0.039,0.2,0
0.99959,0.00018628,2.4999,2.9717e-05,4.1884e-06,1,0.04,0.04,0.2,0
0.99956,0.00022523,2.4999,3.2286e-05,4.258e-06,1,0.041,0.041,0.2,0
0.99955,0.00025117,2.4999,3.3687e-05,4.1364e-06,1,0.042,0.042,0.2,0
0.99956,0.00025104,2.4999,3.2754e-05,3.6328e-06,1,0.043,0.043,0.2,0
0.99958,0.00025091,2.4999,3.182e-05,3.1292e-06,1,0.044,0.044,0.2,0
0.99959,0.00025079,2.4999,3.0886e-05,2.6255e-06,1,0.045,0.045,0.2,0
0.99961,0.00025066,2.4999,2.9953e-05,2.1219e-06,1,0.046,0.046,0.2,0
0.99962,0.00025054,2.4999,2.9019e-05,1.6183e-06,1,0.047,0.047,0.2,0
0.99964,0.00025041,2.4999,2.8086e-05,1.1147e-06,1,0.048,0.048,0.2,0
0.99965,0.00025028,2.4999,2.7152e-05,6.1103e-07,1,0.049,0.049,0.2,0
0.99967,0.00025016,2.4999,2.6218e-05,1.074e-07,1,0.05,0.05,0.2,0
0.99968,0.00025003,2.4999,2.5285e-05,-3.9623e-07,1,0.051,0.051,0.2,0
0.9997,0.00024991,2.4999,2.4351e-05,-8.9986e-07,1,0.052,0.052,0.2,0
0.99971,0.00024978,2.4999,2.3418e-05,-1.4035e-06,1,0.053,0.053,0.2,0
0.99973,0.00024965,2.4999,2.2484e-05,-1.9071e-06,1,0.054,0.054,0.2,0
