"Uc","Um","Ue","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.4,-3.981e-05,-0.39999,1,0,0,0.2,0
1.4,-3.9585e-05,-0.39999,1,0.0001,0.0001,0.2,0
1.4,-3.936e-05,-0.39999,1,0.0002,0.0002,0.2,0
1.4,-3.9135e-05,-0.39999,1,0.0003,0.0003,0.2,0
1.4,-3.8911e-05,-0.39999,1,0.0004,0.0004,0.2,0
1.4,-3.8686e-05,-0.39999,1,0.0005,0.0005,0.2,0
1.4,-3.8461e-05,-0.39999,1,0.0006,0.0006,0.2,0
1.4,-3.8236e-05,-0.39999,1,0.0007,0.0007,0.2,0
1.4,-3.8011e-05,-0.39999,1,0.0008,0.0008,0.2,0
1.4,-3.7786e-05,-0.39999,1,0.0009,0.0009,0.2,0
1.4,-3.7562e-05,-0.39999,1,0.001,0.001,0.2,0
1.4,-3.7337e-05,-0.39999,1,0.0011,0.0011,0.2,0
1.4,-3.7112e-05,-0.39999,1,0.0012,0.0012,0.2,0
1.4,-3.6887e-05,-0.39999,1,0.0013,0.0013,0.2,0
1.4,-3.6662e-05,-0.39999,1,0.0014,0.0014,0.2,0
1.4,-3.6438e-05,-0.39999,1,0.0015,0.0015,0.2,0
1.4,-3.6213e-05,-0.39999,1,0.0016,0.0016,0.2,0
1.4,-3.5988e-05,-0.39999,1,0.0017,0.0017,0.2,0
1.4,-3.5763e-05,-0.39999,1,0.0018,0.0018,0.2,0
1.4,-3.5538e-05,-0.39999,1,0.0019,0.0019,0.2,0
1.4,-3.5314e-05,-0.39999,1,0.002,0.002,0.2,0
1.4,-3.5089e-05,-0.39999,1,0.0021,0.0021,0.2,0
1.4,-3.4864e-05,-0.39999,1,0.0022,0.0022,0.2,0
1.4,-3.4639e-05,-0.39999,1,0.0023,0.0023,0.2,0
1.4,-3.4414e-05,-0.39999,1,0.0024,0.0024,0.2,0
1.4,-3.4189e-05,-0.39999,1,0.0025,0.0025,0.2,0
1.4,-3.3965e-05,-0.39999,1,0.0026,0.0026,0.2,0
1.4,-3.374e-05,-0.39999,1,0.0027,0.0027,0.2,0
1.4,-3.3515e-05,-0.39999,1,0.0028,0.0028,0.2,0
1.4,-3.329e-05,-0.39999,1,0.0029,0.0029,0.2,0
1.4,-3.3065e-05,-0.39999,1,0.003,0.003,0.2,0
1.4,-3.2841e-05,-0.39999,1,0.0031,0.0031,0.2,0
1.4,-3.2616e-05,-0.39999,1,0.0032,0.0032,0.2,0
1.4,-3.2391e-05,-0.39999,1,0.0033,0.0033,0.2,0
1.4,-3.2166e-05,-0.39999,1,0.0034,0.0034,0.2,0
1.4,-3.1941e-05,-0.39999,1,0.0035,0.0035,0.2,0
