"Uc","Um","Ue","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.4,-1.0246e-07,-0.4,1,0,0,0.2,0
1.4,-1.0192e-07,-0.4,1,0.0001,0.0001,0.2,0
1.4,-1.0138e-07,-0.4,1,0.0002,0.0002,0.2,0
1.4,-1.0084e-07,-0.4,1,0.0003,0.0003,0.2,0
1.4,-1.003e-07,-0.4,1,0.0004,0.0004,0.2,0
1.4,-9.9759e-08,-0.4,1,0.0005,0.0005,0.2,0
1.4,-9.9219e-08,-0.4,1,0.0006,0.0006,0.2,0
1.4,-9.8679e-08,-0.4,1,0.0007,0.0007,0.2,0
1.4,-9.8139e-08,-0.4,1,0.0008,0.0008,0.2,0
1.4,-9.7599e-08,-0.4,1,0.0009,0.0009,0.2,0
1.4,-9.706e-08,-0.4,1,0.001,0.001,0.2,0
1.4,-9.652e-08,-0.4,1,0.0011,0.0011,0.2,0
1.4,-9.598e-08,-0.4,1,0.0012,0.0012,0.2,0
1.4,-9.544e-08,-0.4,1,0.0013,0.0013,0.2,0
1.4,-9.49e-08,-0.4,1,0.0014,0.0014,0.2,0
1.4,-9.436e-08,-0.4,1,0.0015,0.0015,0.2,0
1.4,-9.3821e-08,-0.4,1,0.0016,0.0016,0.2,0
1.4,-9.3281e-08,-0.4,1,0.0017,0.0017,0.2,0
1.4,-9.2741e-08,-0.4,1,0.0018,0.0018,0.2,0
1.4,-9.2201e-08,-0.4,1,0.0019,0.0019,0.2,0
1.4,-9.1661e-08,-0.4,1,0.002,0.002,0.2,0
1.4,-9.1122e-08,-0.4,1,0.0021,0.0021,0.2,0
1.4,-9.0582e-08,-0.4,1,0.0022,0.0022,0.2,0
1.4,-9.0042e-08,-0.4,1,0.0023,0.0023,0.2,0
1.4,-8.9502e-08,-0.4,1,0.0024,0.0024,0.2,0
1.4,-8.8962e-08,-0.4,1,0.0025,0.0025,0.2,0
1.4,-8.8423e-08,-0.4,1,0.0026,0.0026,0.2,0
1.4,-8.7883e-08,-0.4,1,0.0027,0.0027,0.2,0
1.4,-8.7343e-08,-0.4,1,0.0028,0.0028,0.2,0
1.4,-8.6803e-08,-0.4,1,0.0029,0.0029,0.2,0
1.4,-8.6263e-08,-0.4,1,0.003,0.003,0.2,0
1.4,-8.5724e-08,-0.4,1,0.0031,0.0031,0.2,0
1.4,-8.5184e-08,-0.4,1,0.0032,0.0032,0.2,0
1.4,-8.4644e-08,-0.4,1,0.0033,0.0033,0.2,0
1.4,-8.4104e-08,-0.4,1,0.0034,0.0034,0.2,0
1.4,-8.3564e-08,-0.4,1,0.0035,0.0035,0.2,0
1.4,-8.3025e-08,-0.4,1,0.0036,0.0036,0.2,0
1.4,-8.2485e-08,-0.4,1,0.0037,0.0037,0.2,0
1.4,-8.1945e-08,-0.4,1,0.0038,0.0038,0.2,0
1.4,-8.1405e-08,-0.4,1,0.0039,0.0039,0.2,0
1.4,-8.0865e-08,-0.4,1,0.004,0.004,0.2,0
1.4,-8.0326e-08,-0.4,1,0.0041,0.0041,0.2,0
1.4,-7.9786e-08,-0.4,1,0.0042,0.0042,0.2,0
1.4,-7.9246e-08,-0.4,1,0.0043,0.0043,0.2,0
1.4,-7.8706e-08,-0.4,1,0.0044,0.0044,0.2,0
1.4,-7.8166e-08,-0.4,1,0.0045,0.0045,0.2,0
1.4,-7.7626e-08,-0.4,1,0.0046,0.0046,0.2,0
1.4,-7.7087e-08,-0.4,1,0.0047,0.0047,0.2,0
1.4,-7.6547e-08,-0.4,1,0.0048,0.0048,0.2,0
