"Uc","Um","Ue","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.99028,0.0030501,2.4711,1,0,0,0.2,0
0.99032,0.003032,2.4712,1,0.0001,0.0001,0.2,0
0.99035,0.003014,2.4713,1,0.0002,0.0002,0.2,0
0.99039,0.002996,2.4714,1,0.0003,0.0003,0.2,0
0.99043,0.0029779,2.4715,1,0.0004,0.0004,0.2,0
0.99046,0.0029599,2.4716,1,0.0005,0.0005,0.2,0
0.9905,0.0029418,2.4717,1,0.0006,0.0006,0.2,0
0.99053,0.0029238,2.4718,1,0.0007,0.0007,0.2,0
0.99057,0.0029058,2.472,1,0.0008,0.0008,0.2,0
0.9906,0.0028877,2.4721,1,0.0009,0.0009,0.2,0
0.99064,0.0028697,2.4722,1,0.001,0.001,0.2,0
0.99067,0.0028516,2.4723,1,0.0011,0.0011,0.2,0
0.99071,0.0028336,2.4724,1,0.0012,0.0012,0.2,0
0.99075,0.0028156,2.4725,1,0.0013,0.0013,0.2,0
0.99078,0.0027975,2.4726,1,0.0014,0.0014,0.2,0
0.99082,0.0027795,2.4727,1,0.0015,0.0015,0.2,0
0.99085,0.0027614,2.4729,1,0.0016,0.0016,0.2,0
0.99089,0.0027434,2.473,1,0.0017,0.0017,0.2,0
0.99092,0.0027254,2.4731,1,0.0018,0.0018,0.2,0
0.99096,0.0027073,2.4732,1,0.0019,0.0019,0.2,0
0.99099,0.0026893,2.4733,1,0.002,0.002,0.2,0
0.99103,0.0026712,2.4734,1,0.0021,0.0021,0.2,0
0.99107,0.0026532,2.4735,1,0.0022,0.0022,0.2,0
0.9911,0.0026351,2.4736,1,0.0023,0.0023,0.2,0
0.99114,0.0026171,2.4738,1,0.0024,0.0024,0.2,0
0.99117,0.0025991,2.4739,1,0.0025,0.0025,0.2,0
0.99121,0.002581,2.474,1,0.0026,0.0026,0.2,0
0.99124,0.002563,2.4741,1,0.0027,0.0027,0.2,0
0.99128,0.0025449,2.4742,1,0.0028,0.0028,0.2,0
0.99131,0.0025269,2.4743,1,0.0029,0.0029,0.2,0
