"Uc","Um","Ue","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.4,3.0654e-06,-0.4,1,0,0,0.2,0
1.4,3.0483e-06,-0.4,1,0.0001,0.0001,0.2,0
1.4,3.0312e-06,-0.4,1,0.0002,0.0002,0.2,0
1.4,3.0142e-06,-0.4,1,0.0003,0.0003,0.2,0
1.4,2.9971e-06,-0.4,1,0.0004,0.0004,0.2,0
1.4,2.98e-06,-0.4,1,0.0005,0.0005,0.2,0
1.4,2.9629e-06,-0.4,1,0.0006,0.0006,0.2,0
1.4,2.9458e-06,-0.4,1,0.0007,0.0007,0.2,0
1.4,2.9288e-06,-0.4,1,0.0008,0.0008,0.2,0
1.4,2.9117e-06,-0.4,1,0.0009,0.0009,0.2,0
1.4,2.8946e-06,-0.4,1,0.001,0.001,0.2,0
1.4,2.8775e-06,-0.4,1,0.0011,0.0011,0.2,0
1.4,2.8604e-06,-0.4,1,0.0012,0.0012,0.2,0
1.4,2.8434e-06,-0.4,1,0.0013,0.0013,0.2,0
1.4,2.8263e-06,-0.4,1,0.0014,0.0014,0.2,0
1.4,2.8092e-06,-0.4,1,0.0015,0.0015,0.2,0
1.4,2.7921e-06,-0.4,1,0.0016,0.0016,0.2,0
1.4,2.775e-06,-0.4,1,0.0017,0.0017,0.2,0
1.4,2.7579e-06,-0.4,1,0.0018,0.0018,0.2,0
1.4,2.7409e-06,-0.4,1,0.0019,0.0019,0.2,0
1.4,2.7238e-06,-0.4,1,0.002,0.002,0.2,0
1.4,2.7067e-06,-0.4,1,0.0021,0.0021,0.2,0
1.4,2.6896e-06,-0.4,1,0.0022,0.0022,0.2,0
1.4,2.6725e-06,-0.4,1,0.0023,0.0023,0.2,0
1.4,2.6555e-06,-0.4,1,0.0024,0.0024,0.2,0
1.4,2.6384e-06,-0.4,1,0.0025,0.0025,0.2,0
1.4,2.6213e-06,-0.4,1,0.0026,0.0026,0.2,0
1.4,2.6042e-06,-0.4,1,0.0027,0.0027,0.2,0
1.4,2.5871e-06,-0.4,1,0.0028,0.0028,0.2,0
1.4,2.5701e-06,-0.4,1,0.0029,0.0029,0.2,0
1.4,2.553e-06,-0.4,1,0.003,0.003,0.2,0
1.4,2.5359e-06,-0.4,1,0.0031,0.0031,0.2,0
1.4,2.5188e-06,-0.4,1,0.0032,0.0032,0.2,0
1.4,2.5017e-06,-0.4,1,0.0033,0.0033,0.2,0
1.4,2.4847e-06,-0.4,1,0.0034,0.0034,0.2,0
1.4,2.4676e-06,-0.4,1,0.0035,0.0035,0.2,0
